"","state","total_liabilities","revenue","lib_rev_ratio"
"1","District of Columbia",17091665000,16397733000,104.231877662601
"2","Alabama",13679635000,30108701000,45.4341587171097
"3","Alaska",14129014000,9104519000,155.186825355628
"4","Arizona",24362565000,48198360000,50.5464605019756
"5","Arkansas",13143393000,25838329000,50.8678134719935
"6","California",408305319000,386615995000,105.610043112676
"7","Colorado",28766869000,41175254000,69.864460338241
"8","Connecticut",97821884000,35717659000,273.875407120047
"9","Delaware",15909284000,10496375000,151.569317978826
"10","Florida",72860317000,105839544000,68.8403542252601
"11","Georgia",42898593000,65986964000,65.0107087818133
"12","Hawaii",28421578000,14507982000,195.903041511907
"13","Idaho",4075441000,11883210000,34.2957921302409
"14","Illinois",263404811000,91181741000,288.878900656218
"15","Indiana",19776175000,42536473000,46.4922773451386
"16","Iowa",9758958000,26729140000,36.5105573916707
"17","Kansas",9981002000,17602156000,56.7032924830345
"18","Louisiana",31993734000,36341565000,88.036203173969
"19","Maine",8836880000,10625590000,83.1660171341074
"20","Maryland",65583150000,50630119000,129.533865010272
"21","Michigan",35977177000,88274088000,40.7562148928687
"22","Minnesota",23927324000,49990315000,47.863919241157
"23","Mississippi",13060607000,20501316000,63.7061884222457
"24","Missouri",19395710,32418542,59.8290632564537
"25","Montana",5140282000,8213225000,62.5854277704556
"26","Nebraska",3728215000,11108805000,33.5609005649123
"27","Nevada",10676834000,16771174000,63.6618163999729
"28","New Hampshire",6048361000,8682854000,69.6586744404547
"29","New Jersey",213903087870,73616040355,290.565869664398
"30","New Mexico",14617951000,23558395000,62.0498595086804
"31","New York",1.88872e+11,1.89989e+11,99.4120712251762
"32","North Carolina",29040557000,59639395000,48.6935808118107
"33","North Dakota",7875818413,10137156850,77.6925772140933
"34","Ohio",55081480000,79125001000,69.6132439859306
"35","Oklahoma",7276923000,23510595000,30.9516751915466
"36","Oregon",24144226000,35294208000,68.4084652076624
"37","Rhode Island",9830412000,10232146000,96.0738050453932
"38","South Carolina",15642105000,31800560000,49.1881432276664
"39","South Dakota",2421365000,5001397000,48.4137731917702
"40","Tennessee",9697381000,39355553000,24.6404389235745
"41","Texas",250250365000,199988664000,125.132274997347
"42","Utah",8052895000,17241722000,46.7058626742735
"43","Vermont",7263223731,7162262953,101.409621214168
"44","Washington",84090857000,72609544000,115.812402017013
"45","West Virginia",13162213000,14506334000,90.7342475362831
"46","Wisconsin",28548691000,44293015000,64.4541605487908
"47","Wyoming",10270669870,4701674995,218.447040276547
"48","Kentucky",41600354000,33658968000,123.593670489244
"49","Massachusetts",113588290000,76583475000,148.319581998597
"50","Pennsylvania",79810308000,109336712000,72.9949772039971
"51","Virginia",26563639000,58156929000,45.6757938508067
