"","state","name","total_liabilities","revenues","liab_rev_ratio"
"1","DC","Government of the District of Columbia",17091665000,16397733000,1.04231877662601
"2","AL","State of Alabama",13679635000,30108701000,0.454341587171097
"3","AK","State of Alaska",14129014000,9104519000,1.55186825355628
"4","AZ","State of Arizona",24362565000,48198360000,0.505464605019756
"5","AR","State of Arkansas",13143393000,25838329000,0.508678134719935
"6","CA","State of California",408305319000,386615995000,1.05610043112676
"7","CO","State of Colorado",28766869000,41175254000,0.69864460338241
"8","CT","State of Connecticut",97821884000,35717659000,2.73875407120047
"9","DE","State of Delaware",15909284000,10496375000,1.51569317978826
"10","FL","State of Florida",72860317000,105839544000,0.688403542252601
"11","GA","State of Georgia",42898593000,65986964000,0.650107087818133
"12","HI","State of Hawaii",28421578000,14507982000,1.95903041511907
"13","ID","State of Idaho",4075441000,11883210000,0.342957921302409
"14","IL","State of Illinois",263404811000,91181741000,2.88878900656218
"15","IN","State of Indiana",19776175000,42536473000,0.464922773451386
"16","IA","State of Iowa",9758958000,26729140000,0.365105573916707
"17","KS","State of Kansas",9981002000,17602156000,0.567032924830345
"18","LA","State of Louisiana",31993734000,36341565000,0.88036203173969
"19","ME","State of Maine",8836880000,10625590000,0.831660171341074
"20","MD","State of Maryland",65583150000,50630119000,1.29533865010272
"21","MI","State of Michigan",35977177000,88274088000,0.407562148928687
"22","MN","State of Minnesota",23927324000,49990315000,0.47863919241157
"23","MS","State of Mississippi",13060607000,20501316000,0.637061884222457
"24","MO","State of Missouri",19395710,32418542,0.598290632564537
"25","MT","State of Montana",5140282000,8213225000,0.625854277704556
"26","NE","State of Nebraska",3728215000,11108805000,0.335609005649122
"27","NV","State of Nevada",10676834000,16771174000,0.636618163999729
"28","NH","State of New Hampshire",6048361000,8682854000,0.696586744404547
"29","NJ","State of New Jersey",213903087870,73616040355,2.90565869664398
"30","NM","State of New Mexico",14617951000,23558395000,0.620498595086804
"31","NY","State of New York",1.88872e+11,1.89989e+11,0.994120712251762
"32","NC","State of North Carolina",29040557000,59639395000,0.486935808118107
"33","ND","State of North Dakota",7875818413,10137156850,0.776925772140933
"34","OH","State of Ohio",55081480000,79125001000,0.696132439859306
"35","OK","State of Oklahoma",7276923000,23510595000,0.309516751915466
"36","OR","State of Oregon",24144226000,35294208000,0.684084652076624
"37","RI","State of Rhode Island",9830412000,10232146000,0.960738050453932
"38","SC","State of South Carolina",15642105000,31800560000,0.491881432276664
"39","SD","State of South Dakota",2421365000,5001397000,0.484137731917702
"40","TN","State of Tennessee",9697381000,39355553000,0.246404389235745
"41","TX","State of Texas",250250365000,199988664000,1.25132274997347
"42","UT","State of Utah",8052895000,17241722000,0.467058626742735
"43","VT","State of Vermont",7263223731,7162262953,1.01409621214168
"44","WA","State of Washington",84090857000,72609544000,1.15812402017013
"45","WV","State of West Virginia",13162213000,14506334000,0.907342475362831
"46","WI","State of Wisconsin",28548691000,44293015000,0.644541605487908
"47","WY","State of Wyoming",10270669870,4701674995,2.18447040276547
"48","KY","Commonwealth of Kentucky",41600354000,33658968000,1.23593670489244
"49","MA","Commonwealth of Massachusetts",113588290000,76583475000,1.48319581998597
"50","PA","Commonwealth of Pennsylvania",79810308000,109336712000,0.729949772039971
"51","VA","Commonwealth of Virginia",26563639000,58156929000,0.456757938508067
