state.abb,state.name,city_town,geo_id,government_ID,entity,total_liabilities,revenues,lia_rev_ratio,population
NY,New York,New York city,1600000US3651000,33203100100000,New York,305300557000,95921699000,318.28,8804190
CA,California,Los Angeles city,1600000US0644000,05201902700000,Los Angeles,50943508000,17463553000,291.71,3898747
IL,Illinois,Chicago city,1600000US1714000,14201601600000,Chicago,69251891000,11215375000,617.4699999999999,2746388
TX,Texas,Houston city,1600000US4835000,44210100800000,Houston,25651079000,5507561000,465.74,2304580
AZ,Arizona,Phoenix city,1600000US0455000,03200701000000,Phoenix,13930794000,4219483000,330.15,1608139
PA,Pennsylvania,Philadelphia city,1600000US4260000,39205100100000,Philadelphia,19141711000,8677695000,220.59000000000003,1603797
TX,Texas,San Antonio city,1600000US4865000,44201501000000,San Antonio,6535995000,2570306000,254.29,1434625
CA,California,San Diego city,1600000US0666000,05203701000000,San Diego,7466528000,3435873000,217.30999999999997,1386932
TX,Texas,Dallas city,1600000US4819000,44205700700000,Dallas,12969622000,3181977000,407.59999999999997,1304379
CA,California,San Jose city,1600000US0668000,05204301200000,San Jose,7622101000,2880708000,264.59000000000003,1013240
TX,Texas,Austin city,1600000US4805000,44222700100000,Austin,15202009000,4246064000,358.03,961855
FL,Florida,Jacksonville city,1600000US1235000,10201600300000,Jacksonville,6319925000,2123471000,297.62,949611
TX,Texas,Fort Worth city,1600000US4827000,44222001100000,Fort Worth,6248476000,2590058000,241.25,918915
OH,Ohio,Columbus city,1600000US3918000,36202500300000,Columbus,7128521000,2468026000,288.83,905748
IN,Indiana,Indianapolis city (balance),1600000US1836003,15204900800000,Indianapolis,2742963000,1256985000,218.22,887642
NC,North Carolina,Charlotte city,1600000US3712000,34206000100000,Charlotte,6759442000,2284998000,295.82,874579
CA,California,San Francisco city,1600000US0667000,05203800100000,San Francisco,9729942000,1161553000,837.67,873965
WA,Washington,Seattle city,1600000US5363000,48201702100000,Seattle,9163846000,4581734000,200.01000000000002,737015
CO,Colorado,Denver city,1600000US0820000,06201600100000,Denver,11288224000,3707605000,304.46,715522
DC,District of Columbia,Washington city,1600000US1150000,09200100100000,Government of the District of Columbia,17091665000,16397733000,104.23,689545
OK,Oklahoma,Oklahoma City city,1600000US4055000,37205501500000,Oklahoma City,2204253000,1077290000,204.61,681054
TX,Texas,El Paso city,1600000US4824000,44207100200000,El Paso,2782722728,933071876,298.23,678815
MA,Massachusetts,Boston city,1600000US2507000,22201300100000,Boston,6518670000,4259188000,153.05,675647
OR,Oregon,Portland city,1600000US4159000,38202600300000,Portland,9174347541,2330517610,393.65999999999997,652503
NV,Nevada,Las Vegas city,1600000US3240000,29200200200000,Las Vegas,1814290240,1224995479,148.11,641903
